QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-06-10 15:00:04 EW;3550308;EW;SÃO PAULO;2020-06-10T15:00:04Z;OK;1;EastWest
3550308 SÃO PAULO 2020-06-10 15:00:07 NS;3550308;NS;SÃO PAULO;2020-06-10T15:00:07Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-06-10 15:00:10 EW;3304557;EW;RIO DE JANEIRO;2020-06-10T15:00:10Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-06-10 15:00:11 NS;3304557;NS;RIO DE JANEIRO;2020-06-10T15:00:11Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-06-10 15:00:15 EW;5300108;EW;BRASÍLIA;2020-06-10T15:00:15Z;OK;1;EastWest
5300108 BRASÍLIA 2020-06-10 15:00:18 NS;5300108;NS;BRASÍLIA;2020-06-10T15:00:18Z;OK;1;NorthSouth
2927408 SALVADOR 2020-06-10 15:00:20 EW;2927408;EW;SALVADOR;2020-06-10T15:00:20Z;OK;1;EastWest
2927408 SALVADOR 2020-06-10 15:00:22 NS;2927408;NS;SALVADOR;2020-06-10T15:00:22Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-06-10 15:00:25 EW;2304400;EW;FORTALEZA;2020-06-10T15:00:25Z;OK;1;EastWest
2304400 FORTALEZA 2020-06-10 15:00:27 NS;2304400;NS;FORTALEZA;2020-06-10T15:00:27Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-06-10 15:00:28 EW;3106200;EW;BELO HORIZONTE;2020-06-10T15:00:28Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-06-10 15:00:30 NS;3106200;NS;BELO HORIZONTE;2020-06-10T15:00:30Z;OK;1;NorthSouth
1302603 MANAUS 2020-06-10 15:00:33 EW;1302603;EW;MANAUS;2020-06-10T15:00:33Z;OK;1;EastWest
1302603 MANAUS 2020-06-10 15:00:35 NS;1302603;NS;MANAUS;2020-06-10T15:00:35Z;OK;1;NorthSouth
4106902 CURITIBA 2020-06-10 15:00:38 EW;4106902;EW;CURITIBA;2020-06-10T15:00:38Z;OK;1;EastWest
4106902 CURITIBA 2020-06-10 15:00:39 NS;4106902;NS;CURITIBA;2020-06-10T15:00:39Z;OK;1;NorthSouth
2611606 RECIFE 2020-06-10 15:00:42 EW;2611606;EW;RECIFE;2020-06-10T15:00:42Z;OK;1;EastWest
2611606 RECIFE 2020-06-10 15:00:44 NS;2611606;NS;RECIFE;2020-06-10T15:00:44Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-06-10 15:00:45 EW;5208707;EW;GOIÂNIA;2020-06-10T15:00:45Z;OK;1;EastWest
5208707 GOIÂNIA 2020-06-10 15:00:48 NS;5208707;NS;GOIÂNIA;2020-06-10T15:00:48Z;OK;1;NorthSouth
1501402 BELÉM 2020-06-10 15:00:51 EW;1501402;EW;BELÉM;2020-06-10T15:00:51Z;OK;1;EastWest
1501402 BELÉM 2020-06-10 15:00:53 NS;1501402;NS;BELÉM;2020-06-10T15:00:53Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-06-10 15:00:55 EW;4314902;EW;PORTO ALEGRE;2020-06-10T15:00:55Z;OK;1;EastWest
4314902 PORTO ALEGRE 2020-06-10 15:00:58 NS;4314902;NS;PORTO ALEGRE;2020-06-10T15:00:58Z;OK;1;NorthSouth
3518800 GUARULHOS 2020-06-10 15:00:59 EW;3518800;EW;GUARULHOS;2020-06-10T15:00:59Z;OK;1;EastWest
3518800 GUARULHOS 2020-06-10 15:01:02 NS;3518800;NS;GUARULHOS;2020-06-10T15:01:02Z;OK;1;NorthSouth
3509502 CAMPINAS 2020-06-10 15:01:05 EW;3509502;EW;CAMPINAS;2020-06-10T15:01:05Z;OK;1;EastWest
3509502 CAMPINAS 2020-06-10 15:01:07 NS;3509502;NS;CAMPINAS;2020-06-10T15:01:07Z;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-06-10 15:01:08 EW;2111300;EW;SÃO LUÍS;2020-06-10T15:01:08Z;OK;1;EastWest
2111300 SÃO LUÍS 2020-06-10 15:01:10 NS;2111300;NS;SÃO LUÍS;2020-06-10T15:01:10Z;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-06-10 15:01:12 EW;3304904;EW;SÃO GONÇALO;2020-06-10T15:01:12Z;OK;1;EastWest
3304904 SÃO GONÇALO 2020-06-10 15:01:14 NS;3304904;NS;SÃO GONÇALO;2020-06-10T15:01:14Z;OK;1;NorthSouth
2704302 MACEIÓ 2020-06-10 15:01:17 EW;2704302;EW;MACEIÓ;2020-06-10T15:01:17Z;OK;1;EastWest
2704302 MACEIÓ 2020-06-10 15:01:18 NS;2704302;NS;MACEIÓ;2020-06-10T15:01:18Z;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-06-10 15:01:20 EW;3301702;EW;DUQUE DE CAXIAS;2020-06-10T15:01:20Z;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-06-10 15:01:23 NS;3301702;NS;DUQUE DE CAXIAS;2020-06-10T15:01:23Z;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-06-10 15:01:26 EW;5002704;EW;CAMPO GRANDE;2020-06-10T15:01:26Z;OK;1;EastWest
5002704 CAMPO GRANDE 2020-06-10 15:01:27 NS;5002704;NS;CAMPO GRANDE;2020-06-10T15:01:27Z;OK;1;NorthSouth
2408102 NATAL 2020-06-10 15:01:29 EW;2408102;EW;NATAL;2020-06-10T15:01:29Z;OK;1;EastWest
2408102 NATAL 2020-06-10 15:01:32 NS;2408102;NS;NATAL;2020-06-10T15:01:32Z;OK;1;NorthSouth
2211001 TERESINA 2020-06-10 15:01:34 EW;2211001;EW;TERESINA;2020-06-10T15:01:34Z;OK;1;EastWest
2211001 TERESINA 2020-06-10 15:01:38 NS;2211001;NS;TERESINA;2020-06-10T15:01:38Z;OK;1;NorthSouth
3548708 SÃO BERNARDO DO CAMPO 2020-06-10 15:01:40 EW;3548708;EW;SÃO BERNARDO DO CAMPO;2020-06-10T15:01:40Z;OK;1;EastWest
3548708 SÃO BERNARDO DO CAMPO 2020-06-10 15:01:42 NS;3548708;NS;SÃO BERNARDO DO CAMPO;2020-06-10T15:01:42Z;OK;1;NorthSouth
3303500 NOVA IGUAÇU 2020-06-10 15:01:44 EW;3303500;EW;NOVA IGUAÇU;2020-06-10T15:01:44Z;OK;1;EastWest
3303500 NOVA IGUAÇU 2020-06-10 15:01:46 NS;3303500;NS;NOVA IGUAÇU;2020-06-10T15:01:46Z;OK;1;NorthSouth
2507507 JOÃO PESSOA 2020-06-10 15:01:47 EW;2507507;EW;JOÃO PESSOA;2020-06-10T15:01:47Z;OK;1;EastWest
2507507 JOÃO PESSOA 2020-06-10 15:01:50 NS;2507507;NS;JOÃO PESSOA;2020-06-10T15:01:50Z;OK;1;NorthSouth
3547809 SANTO ANDRÉ 2020-06-10 15:01:51 EW;3547809;EW;SANTO ANDRÉ;2020-06-10T15:01:51Z;OK;1;EastWest
3547809 SANTO ANDRÉ 2020-06-10 15:01:54 NS;3547809;NS;SANTO ANDRÉ;2020-06-10T15:01:54Z;OK;1;NorthSouth
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-10 15:01:55 EW;3549904;EW;SÃO JOSÉ DOS CAMPOS;2020-06-10T15:01:55Z;OK;1;EastWest
3549904 SÃO JOSÉ DOS CAMPOS 2020-06-10 15:01:59 NS;3549904;NS;SÃO JOSÉ DOS CAMPOS;2020-06-10T15:01:59Z;OK;1;NorthSouth
2607901 JABOATÃO DOS GUARARAPES 2020-06-10 15:02:00 EW;2607901;EW;JABOATÃO DOS GUARARAPES;2020-06-10T15:02:00Z;OK;1;EastWest
2607901 JABOATÃO DOS GUARARAPES 2020-06-10 15:02:01 NS;2607901;NS;JABOATÃO DOS GUARARAPES;2020-06-10T15:02:01Z;OK;1;NorthSouth
3534401 OSASCO 2020-06-10 15:02:02 EW;3534401;EW;OSASCO;2020-06-10T15:02:02Z;OK;1;EastWest
3534401 OSASCO 2020-06-10 15:02:06 NS;3534401;NS;OSASCO;2020-06-10T15:02:06Z;OK;1;NorthSouth
3543402 RIBEIRÃO PRETO 2020-06-10 15:02:07 EW;3543402;EW;RIBEIRÃO PRETO;2020-06-10T15:02:07Z;OK;1;EastWest
3543402 RIBEIRÃO PRETO 2020-06-10 15:02:09 NS;3543402;NS;RIBEIRÃO PRETO;2020-06-10T15:02:09Z;OK;1;NorthSouth
3170206 UBERLÂNDIA 2020-06-10 15:02:13 EW;3170206;EW;UBERLÂNDIA;2020-06-10T15:02:13Z;OK;1;EastWest
3170206 UBERLÂNDIA 2020-06-10 15:02:16 NS;3170206;NS;UBERLÂNDIA;2020-06-10T15:02:16Z;OK;1;NorthSouth
3552205 SOROCABA 2020-06-10 15:02:19 EW;3552205;EW;SOROCABA;2020-06-10T15:02:19Z;OK;1;EastWest
3552205 SOROCABA 2020-06-10 15:02:20 NS;3552205;NS;SOROCABA;2020-06-10T15:02:20Z;OK;1;NorthSouth
3118601 CONTAGEM 2020-06-10 15:02:22 EW;3118601;EW;CONTAGEM;2020-06-10T15:02:22Z;OK;1;EastWest
3118601 CONTAGEM 2020-06-10 15:02:25 NS;3118601;NS;CONTAGEM;2020-06-10T15:02:25Z;OK;1;NorthSouth
2800308 ARACAJU 2020-06-10 15:02:28 EW;2800308;EW;ARACAJU;2020-06-10T15:02:28Z;OK;1;EastWest
2800308 ARACAJU 2020-06-10 15:02:29 NS;2800308;NS;ARACAJU;2020-06-10T15:02:29Z;OK;1;NorthSouth
2910800 FEIRA DE SANTANA 2020-06-10 15:02:31 EW;2910800;EW;FEIRA DE SANTANA;2020-06-10T15:02:31Z;OK;1;EastWest
2910800 FEIRA DE SANTANA 2020-06-10 15:02:32 NS;2910800;NS;FEIRA DE SANTANA;2020-06-10T15:02:32Z;OK;1;NorthSouth
5103403 CUIABÁ 2020-06-10 15:02:34 EW;5103403;EW;CUIABÁ;2020-06-10T15:02:34Z;OK;1;EastWest
5103403 CUIABÁ 2020-06-10 15:02:38 NS;5103403;NS;CUIABÁ;2020-06-10T15:02:38Z;OK;1;NorthSouth
4209102 JOINVILLE 2020-06-10 15:02:40 EW;4209102;EW;JOINVILLE;2020-06-10T15:02:40Z;OK;1;EastWest
4209102 JOINVILLE 2020-06-10 15:02:42 NS;4209102;NS;JOINVILLE;2020-06-10T15:02:42Z;OK;1;NorthSouth
5201405 APARECIDA DE GOIÂNIA 2020-06-10 15:02:45 EW;5201405;EW;APARECIDA DE GOIÂNIA;2020-06-10T15:02:45Z;OK;1;EastWest
5201405 APARECIDA DE GOIÂNIA 2020-06-10 15:02:49 NS;5201405;NS;APARECIDA DE GOIÂNIA;2020-06-10T15:02:49Z;OK;1;NorthSouth
3136702 JUIZ DE FORA 2020-06-10 15:02:52 EW;3136702;EW;JUIZ DE FORA;2020-06-10T15:02:52Z;OK;1;EastWest
3136702 JUIZ DE FORA 2020-06-10 15:02:53 NS;3136702;NS;JUIZ DE FORA;2020-06-10T15:02:53Z;OK;1;NorthSouth
4113700 LONDRINA 2020-06-10 15:02:56 EW;4113700;EW;LONDRINA;2020-06-10T15:02:56Z;OK;1;EastWest
4113700 LONDRINA 2020-06-10 15:02:59 NS;4113700;NS;LONDRINA;2020-06-10T15:02:59Z;OK;1;NorthSouth
1500800 ANANINDEUA 2020-06-10 15:03:02 EW;1500800;EW;ANANINDEUA;2020-06-10T15:03:02Z;OK;1;EastWest
1500800 ANANINDEUA 2020-06-10 15:03:04 NS;1500800;NS;ANANINDEUA;2020-06-10T15:03:04Z;OK;1;NorthSouth
1100205 PORTO VELHO 2020-06-10 15:03:07 EW;1100205;EW;PORTO VELHO;2020-06-10T15:03:07Z;OK;1;EastWest
1100205 PORTO VELHO 2020-06-10 15:03:09 NS;1100205;NS;PORTO VELHO;2020-06-10T15:03:09Z;OK;1;NorthSouth
3303302 NITERÓI 2020-06-10 15:03:12 EW;3303302;EW;NITERÓI;2020-06-10T15:03:12Z;OK;1;EastWest
3303302 NITERÓI 2020-06-10 15:03:15 NS;3303302;NS;NITERÓI;2020-06-10T15:03:15Z;OK;1;NorthSouth
3300456 BELFORD ROXO 2020-06-10 15:03:18 EW;3300456;EW;BELFORD ROXO;2020-06-10T15:03:18Z;OK;1;EastWest
3300456 BELFORD ROXO 2020-06-10 15:03:20 NS;3300456;NS;BELFORD ROXO;2020-06-10T15:03:20Z;OK;1;NorthSouth
3205002 SERRA 2020-06-10 15:03:21 EW;3205002;EW;SERRA;2020-06-10T15:03:21Z;OK;1;EastWest
3205002 SERRA 2020-06-10 15:03:23 NS;3205002;NS;SERRA;2020-06-10T15:03:23Z;OK;1;NorthSouth
4305108 CAXIAS DO SUL 2020-06-10 15:03:25 EW;4305108;EW;CAXIAS DO SUL;2020-06-10T15:03:25Z;OK;1;EastWest
4305108 CAXIAS DO SUL 2020-06-10 15:03:27 NS;4305108;NS;CAXIAS DO SUL;2020-06-10T15:03:27Z;OK;1;NorthSouth
3301009 CAMPOS DOS GOYTACAZES 2020-06-10 15:03:28 EW;3301009;EW;CAMPOS DOS GOYTACAZES;2020-06-10T15:03:28Z;OK;1;EastWest
3301009 CAMPOS DOS GOYTACAZES 2020-06-10 15:03:32 NS;3301009;NS;CAMPOS DOS GOYTACAZES;2020-06-10T15:03:32Z;OK;1;NorthSouth
1600303 MACAPÁ 2020-06-10 15:03:34 EW;1600303;EW;MACAPÁ;2020-06-10T15:03:34Z;OK;1;EastWest
1600303 MACAPÁ 2020-06-10 15:03:37 NS;1600303;NS;MACAPÁ;2020-06-10T15:03:37Z;OK;1;NorthSouth
4205407 FLORIANÓPOLIS 2020-06-10 15:03:40 EW;4205407;EW;FLORIANÓPOLIS;2020-06-10T15:03:40Z;OK;1;EastWest
4205407 FLORIANÓPOLIS 2020-06-10 15:03:43 NS;4205407;NS;FLORIANÓPOLIS;2020-06-10T15:03:43Z;OK;1;NorthSouth
3205200 VILA VELHA 2020-06-10 15:03:46 EW;3205200;EW;VILA VELHA;2020-06-10T15:03:46Z;OK;1;EastWest
3205200 VILA VELHA 2020-06-10 15:03:49 NS;3205200;NS;VILA VELHA;2020-06-10T15:03:49Z;OK;1;NorthSouth
3305109 SÃO JOÃO DE MERITI 2020-06-10 15:03:51 EW;3305109;EW;SÃO JOÃO DE MERITI;2020-06-10T15:03:51Z;OK;1;EastWest
3305109 SÃO JOÃO DE MERITI 2020-06-10 15:03:55 NS;3305109;NS;SÃO JOÃO DE MERITI;2020-06-10T15:03:55Z;OK;1;NorthSouth
